City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Peoria Heights,,,,1,,,,,,,,,1
Peotone,,,,,1,,,,,,,,1
Petersburg,,,,2,,2,,,1,,1,,6
Philo,,,,,,,1,,,,1,,2
Pinckneyville,,,,,2,,,,,1,,,3
Plainfield,,,,3,2,1,1,,1,1,,,9
Plano,,,,,,,1,1,,,,,2
Polo,,,,,,,,,,1,,,1
Pontiac,,,,,1,,,,,,1,,2
Pontoon Beach,,,,,,,,,,,1,,1
Port Byron,,,,,,,,,1,,,,1
Princeton,,,,,,2,,,1,,,,3
Princeville,,,,1,,,,,,,,,1
Prospect Heights,,,,1,,,,,,,,,1
Putnam,,,,,,,1,,,,,,1
Quincy,,1,1,,1,2,,,1,1,2,1,10
Ramsey,,,,,,,,,2,,,,2
Rantoul,,,,,,,1,,,,,,1
Red Bud,,,,1,,1,,,,,1,,3
Richmond,,,,,2,,,,,,,,2
Ridgway,,,,,,,,,1,1,,,2
River Forest,,,,1,,,,,1,,,,2
Robbins,,,,,,1,,,,,,,1
Robinson,,,1,,,,,1,,1,1,,4
Rochelle,,,,,,1,,,,,,,1
Rock Falls,,,,,,,,1,1,,,,2
Rock Island,,,,1,1,,,,,1,,,3
Rockdale,,,,1,,,,,,,,,1
Rockford,2,1,3,5,2,7,1,2,2,4,2,,31
Rockton,,,,,1,1,,1,,1,,,4
Rolling Meadows,,,,,,,,,1,,,,1
Romeoville,1,,,,1,,1,,1,1,,,5
Roscoe,,,,,,1,,,,1,1,,3
Roselle,,,,,,1,,1,,,1,,3
Rosemont,,,,1,,,,1,,1,,,3
Round Lake,,,,,1,,,,,,,,1
Round Lake Beach,,1,,,,,,,1,,,,2
Rushville,,,,,1,,,,,,,,1
Saint Charles,,,,,,,,,1,2,,,3
Salem,,,,,,1,,,,2,,,3
Sandwich,,,,,,,1,,,1,2,,4
Sauget,,,,,1,2,,,1,,,,4
Savanna,,,,1,,,,,,1,,,2
Schaumburg,,,,1,1,,3,,4,6,1,1,17
Sesser,,,,,1,1,,,,,,,2
Seward,,,,,,,,,,1,,,1
Shabbona,,,,,,,1,,,,,,1
Shelbyville,,,,,,,,1,,,,,1
Sherman,,,,,,,1,1,,1,,1,4
Sherrard,,,,,,,,,,1,,,1
Shiloh,,,1,,2,,,,,,,1,4
Shorewood,,,,1,1,,,,1,2,,,5
Sibley,,,,,,,1,,,,,,1
Sidney,,,,,,1,,,,,,,1
Skokie,,,,1,,3,,,,,,,4
Smithton,,,,,,,1,,,,,,1
Somonauk,,,,,,,1,,,,,,1
South Barrington,,,,1,1,,,,,,,,2
South Elgin,,,,,1,,,,1,1,,,3
South Holland,,,,,,,,,1,,,,1
Spring Grove,,,,,,,,1,,1,,,2
Spring Valley,,,1,1,,,,,1,,,,3
Springfield,,,,4,5,4,5,2,3,2,2,1,28
St. Anne,,,,1,,,,,,,,,1
St. Charles,,,,1,1,1,1,,3,3,1,,11
St. Joseph,,,,,,,,1,,,,,1
Steeleville,,,,,,,1,,,,,,1
Steger,,,,,,,1,,,,,,1
Sterling,1,,,,,1,,2,,2,,,6
Stewardson,,,,,,1,,,,,,,1
Stillman Valley,,,,,,,,,1,,,,1
Stockton,,,,,,,1,,,,,,1
Streamwood,,,,,,1,,,,1,,,2
Streator,,,,,,,,,,1,,,1
Sugar Grove,,,,,,,1,,,1,,,2
Sullivan,,,,1,,,,,,,1,,2
Sumner,,,,,,,,,1,1,,,2
Swansea,,,,,1,,,,,,,,1
Sycamore,,,,,1,,,,1,1,,,3
Taylorville,,,,,1,,,,1,,,,2
Teutopolis,,,,,1,,,,1,,,,2
Tinley Park,,,1,1,1,1,2,1,2,,1,,10
Tiskilwa,,,,,1,,,,,,,,1
Tolono,,,,,,1,,,1,,,,2
Tremont,,,,,,,,1,,,,,1
Troy,,,,,1,,,,1,1,,,3
Tunnel Hill,,,,,,,1,,,,1,,2
Tuscola,,,,,,,,1,,,,,1
University Park,,,,,2,,,,,,,,2
Urbana,,,1,,2,,,1,3,4,1,,12
Utica,,,,,,,,,,,1,,1
Valmeyer,,,,,,,,,1,1,,,2
Vandalia,,,,,,1,,,,,,,1
Vernon Hills,,,,2,,1,,,2,,,,5
Vienna,,,,1,,,,,,1,1,,3
Villa Park,,,,1,1,2,,,,2,,,6
Volo,,,,,,,,,,1,,,1
Walnut,,,,,,,,1,,,,,1
Warren,,,,,,,,,1,1,,,2
Warrenville,1,,,1,,1,1,,1,,1,,6
Warsaw,,,,,,,,,1,,,,1
Washington,,,,,,,,,,1,,,1
Waterloo,,,,,,,,,,2,,,2
Waterman,,,,,,,,,,,1,,1
Watson,,,,,,,,1,,,,,1
Wauconda,,,,1,,1,1,,,1,1,,5
Waukegan,,,,,2,,,,,,,1,3
West Chicago,,,,1,1,,,,,,,,2
West Frankfort,,,,,1,,,,,,,,1
West Peoria,,,1,,,1,,,,,,,2
Westmont,,,,,1,,,,1,,1,,3
Westville,,,,,,,,,1,,,,1
Wheaton,,,,4,2,3,,2,2,3,3,2,21
Wheeling,,,,1,,,1,,,,,,2
Williamsfield,,,,,,,,,,1,,,1
Willow Springs,,,,,,,,,2,,,,2
Wilmette,,,,,1,,,1,,,,,2
Wilmington,,,,,,,,,1,,,,1
Winfield,,,,,,,2,,,,,,2
Winnebago,,,1,,,,,,,,1,,2
Winnetka,,,,,,2,,,3,,1,,6
Winthrop Harbor,,,,1,,,,1,,,,,2
Witt,,,,,,,,,,1,,,1
Wood Dale,,,,,,1,,,,,,,1
Woodridge,,,,,,,,1,,,,,1
Woodstock,1,,,,2,,1,,1,1,,,6
Worden,,,,,,,,,1,,,,1
Yorkville,,,,1,3,2,1,,1,,1,,9
Zion,,,,1,1,1,1,,1,,1,1,7
Total,29,27,75,160,243,193,147,144,297,272,132,44,1763
