City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Luna Pier,,,,,,,1,,,,,,1
Lupton,,,,,,,1,,,,,,1
Luther,,,,,,,1,,,,,,1
Mackinac Island,,,,,,1,,,1,1,,,3
Mackinaw City,,,,,1,,1,,,1,,,3
Macomb,,,,,,2,,,,1,,,3
Mancelona,,,,,,1,,,,,,,1
Manistee,,,,,,,2,,,1,,1,4
Maple City,,1,,,,,,,,,,,1
Marine City,,,,,,,,1,,,,,1
Marion,,,,,,,,1,,,,,1
Marlette,,,,,,1,1,,,,,,2
Marne,,,,1,,,,,,,,,1
Marquette,,,1,1,2,3,1,1,3,1,1,,14
Marshall,,,1,,1,,,,1,,,,3
Martin,,,,,,,,,,1,,,1
Marysville,,,1,1,1,2,,1,,1,,,7
Mason,,,,,1,,,1,,2,,,4
Mattawan,,,,,1,,,1,,1,1,,4
McBain,,,,,,,,1,,,,,1
Mears,,,,,,2,,,,,,,2
Mecosta,,,,,,2,,,,,,,2
Memphis,,,,,,,,1,,,,,1
Menominee,,,,,1,,,,,1,,1,3
Mesick,,,,,1,,,,,,,,1
Middleville,1,,,,,3,1,1,,,1,,7
Midland,,,,2,6,4,1,,3,2,1,,19
Milan,,,,,,,,1,,,,,1
Milford,,,,,1,,1,3,2,1,3,,11
Millington,,,,,,,1,,,,,,1
Mohawk,,,,,,,,,,1,,,1
Monroe,,,,,1,,,1,,1,1,,4
Montrose,,,,,,,,1,,,,,1
Moran,,,,,,,,,1,,,,1
Morley,,,,,1,,,,,,,,1
Mount Pleasant,,2,,2,,2,1,,1,2,,,10
Mt. Clemens,,,,1,1,,,,,,,,2
Mt. Morris,,,,,,,,2,,,,,2
Mt. Pleasant,1,1,1,1,2,1,,,2,2,,,11
Munger,,,,,,,,1,,,,,1
Munising,,,,,,1,2,,,,,,3
Muskegon,,,1,,2,1,1,2,5,,4,,16
Nahma,,,,,,1,,,,,,,1
Napoleon,,,,,,1,,,,,,,1
Nashville,,,,,,,,,1,,,,1
Negaunee,,,,,1,,1,1,,1,,,4
New Baltimore,,,,,,,1,,,,,1,2
New Boston,,,,1,2,,,,1,1,,,5
New Buffalo,,,,,1,,1,,,,,,2
New Hudson,,,,,,,1,,,,,,1
New Troy,,,,,,,,,1,,,,1
Newaygo,,,,,1,,1,,1,,,1,4
Newberry,,,,,1,1,,1,1,,,,4
Niles,1,,,,,2,,2,,,1,,6
North Branch,,,,,,,,1,,,1,,2
North Muskegon,1,,,,1,,,,,,,,2
Northville,,,,,2,2,1,,2,1,1,,9
Norton Shores,,,,,,,,1,,,,,1
Norway,,,,1,,,,,,,,,1
Novi,,1,,2,1,1,1,,1,,,,7
Nunica,,,,,,,,1,,,,,1
Oakland Township,,,1,,,,,,,1,,,2
Okemos,,1,1,1,,2,1,2,3,1,,1,13
Olivet,,,,,,1,,,,1,,,2
Omer,1,,,,,,,,,,,,1
Ontonagon,,,,,,,,,1,,,,1
Ortonville,,,,,2,,1,,,1,,,4
Oscoda,,,,1,,,1,,1,,,,3
Otisville,,,,,,,,,,1,,,1
Otsego,,,,,,,,1,,,,,1
Overisel,,,,,1,,,,,,,,1
Ovid,,,1,,,,,,,,,,1
Owosso,,,,1,1,1,,,1,1,1,1,7
Oxford,,,,,2,,,,,3,1,1,7
Painesdale,,,,,,,,,1,,,,1
Paradise,,1,,,,2,,1,,1,,,5
Parchment,,,,,,,1,,,,,,1
Parma,,,,,1,,1,,1,,,,3
Paw Paw,,,,,,,,,1,,,1,2
Pentwater,,,,,,,1,,1,,,,2
Perry,,,,,,,,,1,,,,1
Petersburg,,,,,,,1,,,,,,1
Petoskey,1,,,,1,,1,1,,2,,,6
Pewamo,,,,,,1,,,,,,,1
Pigeon,,,,,,,1,,,,,,1
Pinckney,,,1,2,2,1,1,1,3,1,,,12
Pinconning,,,,,,1,,,,,,,1
Pittsford,,,,,,1,,1,,,,,2
Plainwell,,,,,,1,,,,,,,1
Plymouth,,,1,,,1,,,,2,1,,5
Port Austin,,,,,1,,1,,,,,,2
Port Huron,1,,1,,1,1,2,1,,1,1,1,10
Port Sanilac,,,,,,,,1,,,,,1
Portage,,1,,2,,,,1,2,3,2,,11
Portland,1,,,,,1,1,1,2,1,,,7
Potterville,,,1,,,1,1,,,1,,,4
Presque Isle,,,,,1,,,,,,,,1
Quincy,,,,,,,,1,,,,,1
Rapid River,,,,,1,,,,,,,,1
Reed City,,,,,,,,1,,1,,,2
Reese,1,1,1,,,,,,,,,1,4
Richland,,,,,,,1,,,,,,1
Richmond,,,,,,,,,1,1,,,2
Riverview,,1,,,,1,,,,,,,2
Rives Junction,,,,,1,,,,,,,,1
Rochester,2,,1,1,3,2,,1,2,2,,,14
Rochester Hills,,,,1,1,2,,1,2,1,2,,10
Rockford,,,,1,,,3,1,,1,,,6
Rodney,,,,,,,1,1,,,,,2
Romeo,,,,,,,,,1,,,,1
Roscommon,,,,,,1,,,,,,,1
Rose City,,,,,,,,,,1,,,1
Roseville,,,,,,,,,,,1,,1
Royal Oak,,,1,2,2,2,,2,3,1,,1,14
Ruby,,,,,,1,,,,,,,1
Rudyard,,,,,,1,1,,,,,,2
Saginaw,,,,1,1,3,1,2,3,2,3,1,17
Saint Clair,,1,,,,,,,,,,,1
Saint Ignace,,,,,1,,,,2,,,,3
Saint Johns,,,,1,2,,,,1,1,,,5
Saint Louis,,,,,,,,,1,,1,,2
Salem,,,,,,1,,,,,,,1
Saline,,,,,,,,1,,1,,,2
Sandusky,,,,,,,,,1,,,,1
Sanford,,,,,,,1,1,1,,,,3
Saranac,,,,,,,,1,,1,1,,3
Saugatuck,,,,,,1,,,,,,,1
Sault Sainte Marie,,,,,,,,1,,,,,1
Sault Ste. Marie,,,,,1,1,,,1,1,1,,5
Schoolcraft,,,,,,,1,,,,,,1
Scotts,,,,,,,,,1,,,,1
Sebewaing,,,,,,1,,,,,,,1
Shelby,1,,,,,1,1,,1,,1,,5
Shelby Township,,,,2,4,1,1,2,1,,3,1,15
Shepherd,1,,,1,1,,,,,1,1,,5
Sheridan,,,,,2,,,,,,,,2
Silver City,,,1,,,,,,1,,,,2
Smyrna,,,,,,,,1,,,,,1
South Haven,,1,,,,4,,2,1,1,,,9
South Lyon,,1,,1,1,,,,2,,,,5
Southfield,,,,,2,2,,1,1,1,,,7
Southgate,,,,,,1,,,,,,,1
Sparta,,,,,,,1,,,,1,,2
Spring Arbor,,,1,,,,,,1,,,,2
Spring Lake,,,1,,,1,2,,2,,,,6
Springport,,,,,1,,,,,,,,1
St Joseph,,,,,1,,,,,,,,1
St. Charles,,,,,,,,,,1,,,1
St. Clair,,1,,,,1,1,,,,2,,5
St. Clair Shores,,,,,2,1,,,1,,,,4
St. Johns,,,,,2,1,,3,,2,1,,9
St. Joseph,,1,,,1,1,2,,,1,,,6
St. Louis,,,,,,,1,,,,,,1
Standish,,,,,,,,,,1,,,1
Stanton,,,,,,,,,1,,,,1
Sterling Heights,,,,,1,,1,,1,,,,3
Stevensville,,,,,,,,,,,1,,1
Sturgis,,,,,,2,,1,1,,,1,5
Suttons Bay,,,,,,,,,1,,,,1
Swartz Creek,,,,,1,,,,,,,,1
Sylvan Lake,,,,,1,,,,,,,,1
Taylor,,,,1,,1,1,,1,,,,4
Tecumseh,,,,,,,2,,,,,,2
Temperance,,,,,,,,1,,1,,,2
Thompsonville,,,,,1,,,,,,,,1
Three Rivers,,,,,1,1,,1,,1,,,4
Tipton,,,,,,,,,1,1,,,2
Traverse City,2,,1,4,6,3,3,3,2,4,2,2,32
Trenton,,,,,,1,,,,,,,1
Troy,,,,3,,,,1,1,2,,,7
Trufant,,,,,,,,,1,,,,1
Twin Lake,,,1,,,,,,,,,,1
Union City,,,,,,1,1,,,1,,,3
Unionville,,,,,,,,,1,,,,1
University Center,,,,1,,,,,1,1,,,3
Utica,,,2,,,,,,,1,1,,4
Vandalia,,,,,,,,,,1,,,1
Vassar,,,,,,,,1,,,,,1
Vermontville,,,,1,,,,,,,,,1
Vestaburg,,,,,1,1,1,,,,,,3
Vicksburg,,1,,,2,,,1,,1,,,5
Wakefield,,,,,,,1,,1,,,,2
Walker,,,,2,,1,,2,,3,,1,9
Walled Lake,,,1,,1,,,1,,,,,3
Washington,,,,,,2,,,,,,,2
Waterford,,,,,1,,1,,1,1,,,4
Watersmeet,,,,,,,,,,1,,,1
Watervliet,,,,,,,1,,,1,,,2
Wayland,,,,,,,1,,,,,,1
Wayne,,,,,,,,,,1,,,1
Webberville,,,,,1,,,,,,,,1
Wellston,,,,,,,,2,,,,,2
West Bloomfield,,,,,1,,,,,,,,1
West Branch,,,1,,1,1,,,,2,,,5
West Olive,,,,,,,,,,1,,,1
Westland,,,,,2,1,1,,2,,1,,7
Westphalia,,,,,,,1,,,,,,1
White Cloud,,,,,,,1,,,,,,1
White Lake,,,,,,,,,1,,,,1
White Pigeon,,,,,,,1,,,,,,1
Whitehall,,,,,,1,1,,1,,,,3
Whitmore Lake,,,,,,,1,,,1,,,2
Williamston,,,,1,1,,,,1,1,,,4
Wixom,,,,,,,,,,,1,,1
Woodhaven,,,,,,,,,,1,,,1
Wyandotte,,,,,2,,,,1,1,1,,5
Wyoming,,,,,,,1,,,,,,1
Yale,,,,,,,1,,1,,,,2
Ypsilanti,,,,,1,1,,,1,1,,,4
Zeeland,,,,,,1,,,,,1,,2
Total,40,47,64,125,226,223,204,197,236,235,116,56,1769
